Name;Station;Time(norwegian mean time);Mean air temperature (year)
Bjørnøya;SN99710;1922;-1.1
Bjørnøya;SN99710;1923;-1.5
Bjørnøya;SN99710;1924;-1.9
Bjørnøya;SN99710;1925;-1.5
Bjørnøya;SN99710;1926;-3.1
Bjørnøya;SN99710;1927;-3
Bjørnøya;SN99710;1928;-2.4
Bjørnøya;SN99710;1929;-3.2
Bjørnøya;SN99710;1930;-1
Bjørnøya;SN99710;1931;-1.2
Bjørnøya;SN99710;1932;-2.5
Bjørnøya;SN99710;1933;-0.5
Bjørnøya;SN99710;1934;-0.3
Bjørnøya;SN99710;1935;-1.5
Bjørnøya;SN99710;1936;-1.6
Bjørnøya;SN99710;1937;0.3
Bjørnøya;SN99710;1938;0.3
Bjørnøya;SN99710;1939;-1
Bjørnøya;SN99710;1940;-2.4
Bjørnøya;SN99710;1945;-1.5
Bjørnøya;SN99710;1946;-1.3
Bjørnøya;SN99710;1947;-2.7
Bjørnøya;SN99710;1948;-2.8
Bjørnøya;SN99710;1949;-1.3
Bjørnøya;SN99710;1950;-0.2
Bjørnøya;SN99710;1951;-2.9
Bjørnøya;SN99710;1952;-2
Bjørnøya;SN99710;1953;-1.1
Bjørnøya;SN99710;1954;0.3
Bjørnøya;SN99710;1955;-2.1
Bjørnøya;SN99710;1956;-0.3
Bjørnøya;SN99710;1957;-0.6
Bjørnøya;SN99710;1958;-1.5
Bjørnøya;SN99710;1959;-0.9
Bjørnøya;SN99710;1960;-1.2
Bjørnøya;SN99710;1961;-1.9
Bjørnøya;SN99710;1962;-4.2
Bjørnøya;SN99710;1963;-4.7
Bjørnøya;SN99710;1964;-0.9
Bjørnøya;SN99710;1965;-3.3
Bjørnøya;SN99710;1966;-3.8
Bjørnøya;SN99710;1967;-2.5
Bjørnøya;SN99710;1968;-5.4
Bjørnøya;SN99710;1969;-1.9
Bjørnøya;SN99710;1970;-2.5
Bjørnøya;SN99710;1971;-3.7
Bjørnøya;SN99710;1972;0.2
Bjørnøya;SN99710;1973;-1.7
Bjørnøya;SN99710;1974;0.5
Bjørnøya;SN99710;1975;-2.7
Bjørnøya;SN99710;1976;-0.7
Bjørnøya;SN99710;1977;-2.8
Bjørnøya;SN99710;1978;-3.6
Bjørnøya;SN99710;1979;-2
Bjørnøya;SN99710;1980;-2.6
Bjørnøya;SN99710;1981;-2.8
Bjørnøya;SN99710;1982;-2.5
Bjørnøya;SN99710;1983;-1.7
Bjørnøya;SN99710;1984;0
Bjørnøya;SN99710;1985;-1.8
Bjørnøya;SN99710;1986;-1.7
Bjørnøya;SN99710;1987;-2.7
Bjørnøya;SN99710;1988;-3.8
Bjørnøya;SN99710;1989;-2.1
Bjørnøya;SN99710;1990;-0.1
Bjørnøya;SN99710;1991;-0.6
Bjørnøya;SN99710;1992;-1
Bjørnøya;SN99710;1993;-2.1
Bjørnøya;SN99710;1994;-1.3
Bjørnøya;SN99710;1995;-2.3
Bjørnøya;SN99710;1996;-2.1
Bjørnøya;SN99710;1997;-2.3
Bjørnøya;SN99710;1998;-1.8
Bjørnøya;SN99710;1999;0.1
Bjørnøya;SN99710;2000;-0.5
Bjørnøya;SN99710;2001;-1.2
Bjørnøya;SN99710;2002;-0.6
Bjørnøya;SN99710;2003;-2.2
Bjørnøya;SN99710;2004;0
Bjørnøya;SN99710;2005;0.3
Bjørnøya;SN99710;2006;1.2
Bjørnøya;SN99710;2007;0.4
Bjørnøya;SN99710;2008;0
Bjørnøya;SN99710;2009;-0.2
Bjørnøya;SN99710;2010;-0.5
Bjørnøya;SN99710;2011;0.3
Bjørnøya;SN99710;2012;0.7
Bjørnøya;SN99710;2013;0.4
Bjørnøya;SN99710;2014;0.5
Bjørnøya;SN99710;2015;0.4
Bjørnøya;SN99710;2016;1.8
Bjørnøya;SN99710;2017;0.7
Bjørnøya;SN99710;2018;1
Bjørnøya;SN99710;2019;-0.5
Bjørnøya;SN99710;2020;-0.6
Data valid for 12.03.2021 (CC BY 4.0), The Norwegian Meteorological Institute (MET Norway);;;
