Name;Station;Time(norwegian mean time);Snow depth
Svalbard Lufthavn;SN99840;01.09.1976;0
Svalbard Lufthavn;SN99840;02.09.1976;0
Svalbard Lufthavn;SN99840;03.09.1976;0
Svalbard Lufthavn;SN99840;04.09.1976;4
Svalbard Lufthavn;SN99840;05.09.1976;2
Svalbard Lufthavn;SN99840;06.09.1976;2
Svalbard Lufthavn;SN99840;07.09.1976;2
Svalbard Lufthavn;SN99840;08.09.1976;0
Svalbard Lufthavn;SN99840;09.09.1976;0
Svalbard Lufthavn;SN99840;10.09.1976;0
Svalbard Lufthavn;SN99840;11.09.1976;3
Svalbard Lufthavn;SN99840;12.09.1976;3
Svalbard Lufthavn;SN99840;13.09.1976;3
Svalbard Lufthavn;SN99840;14.09.1976;3
Svalbard Lufthavn;SN99840;15.09.1976;3
Svalbard Lufthavn;SN99840;16.09.1976;3
Svalbard Lufthavn;SN99840;17.09.1976;5
Svalbard Lufthavn;SN99840;18.09.1976;5
Svalbard Lufthavn;SN99840;19.09.1976;3
Svalbard Lufthavn;SN99840;20.09.1976;3
Svalbard Lufthavn;SN99840;21.09.1976;2
Svalbard Lufthavn;SN99840;22.09.1976;2
Svalbard Lufthavn;SN99840;23.09.1976;2
Svalbard Lufthavn;SN99840;24.09.1976;1
Svalbard Lufthavn;SN99840;25.09.1976;5
Svalbard Lufthavn;SN99840;26.09.1976;2
Svalbard Lufthavn;SN99840;27.09.1976;2
Svalbard Lufthavn;SN99840;28.09.1976;2
Svalbard Lufthavn;SN99840;29.09.1976;2
Svalbard Lufthavn;SN99840;30.09.1976;4
Svalbard Lufthavn;SN99840;01.10.1976;4
Svalbard Lufthavn;SN99840;02.10.1976;3
Svalbard Lufthavn;SN99840;03.10.1976;0
Svalbard Lufthavn;SN99840;04.10.1976;0
Svalbard Lufthavn;SN99840;05.10.1976;0
Svalbard Lufthavn;SN99840;06.10.1976;0
Svalbard Lufthavn;SN99840;07.10.1976;0
Svalbard Lufthavn;SN99840;08.10.1976;0
Svalbard Lufthavn;SN99840;09.10.1976;0
Svalbard Lufthavn;SN99840;10.10.1976;0
Svalbard Lufthavn;SN99840;11.10.1976;0
Svalbard Lufthavn;SN99840;12.10.1976;0
Svalbard Lufthavn;SN99840;13.10.1976;0
Svalbard Lufthavn;SN99840;14.10.1976;0
Svalbard Lufthavn;SN99840;15.10.1976;0
Svalbard Lufthavn;SN99840;16.10.1976;0
Svalbard Lufthavn;SN99840;17.10.1976;0
Svalbard Lufthavn;SN99840;18.10.1976;0
Svalbard Lufthavn;SN99840;19.10.1976;1
Svalbard Lufthavn;SN99840;20.10.1976;2
Svalbard Lufthavn;SN99840;21.10.1976;2
Svalbard Lufthavn;SN99840;22.10.1976;5
Svalbard Lufthavn;SN99840;23.10.1976;5
Svalbard Lufthavn;SN99840;24.10.1976;10
Svalbard Lufthavn;SN99840;25.10.1976;10
Svalbard Lufthavn;SN99840;26.10.1976;10
Svalbard Lufthavn;SN99840;27.10.1976;11
Svalbard Lufthavn;SN99840;28.10.1976;10
Svalbard Lufthavn;SN99840;29.10.1976;12
Svalbard Lufthavn;SN99840;30.10.1976;12
Svalbard Lufthavn;SN99840;31.10.1976;5
Svalbard Lufthavn;SN99840;01.11.1976;6
Svalbard Lufthavn;SN99840;02.11.1976;1
Svalbard Lufthavn;SN99840;03.11.1976;1
Svalbard Lufthavn;SN99840;04.11.1976;1
Svalbard Lufthavn;SN99840;05.11.1976;3
Svalbard Lufthavn;SN99840;06.11.1976;3
Svalbard Lufthavn;SN99840;07.11.1976;4
Svalbard Lufthavn;SN99840;08.11.1976;4
Svalbard Lufthavn;SN99840;09.11.1976;4
Svalbard Lufthavn;SN99840;10.11.1976;3
Svalbard Lufthavn;SN99840;11.11.1976;2
Svalbard Lufthavn;SN99840;12.11.1976;3
Svalbard Lufthavn;SN99840;13.11.1976;3
Svalbard Lufthavn;SN99840;14.11.1976;3
Svalbard Lufthavn;SN99840;15.11.1976;3
Svalbard Lufthavn;SN99840;16.11.1976;3
Svalbard Lufthavn;SN99840;17.11.1976;3
Svalbard Lufthavn;SN99840;18.11.1976;4
Svalbard Lufthavn;SN99840;19.11.1976;13
Svalbard Lufthavn;SN99840;20.11.1976;4
Svalbard Lufthavn;SN99840;21.11.1976;8
Svalbard Lufthavn;SN99840;22.11.1976;8
Svalbard Lufthavn;SN99840;23.11.1976;5
Svalbard Lufthavn;SN99840;24.11.1976;4
Svalbard Lufthavn;SN99840;25.11.1976;4
Svalbard Lufthavn;SN99840;26.11.1976;4
Svalbard Lufthavn;SN99840;27.11.1976;4
Svalbard Lufthavn;SN99840;28.11.1976;4
Svalbard Lufthavn;SN99840;29.11.1976;3
Svalbard Lufthavn;SN99840;30.11.1976;3
Svalbard Lufthavn;SN99840;01.12.1976;3
Svalbard Lufthavn;SN99840;02.12.1976;3
Svalbard Lufthavn;SN99840;03.12.1976;3
Svalbard Lufthavn;SN99840;04.12.1976;3
Svalbard Lufthavn;SN99840;05.12.1976;3
Svalbard Lufthavn;SN99840;06.12.1976;3
Svalbard Lufthavn;SN99840;07.12.1976;3
Svalbard Lufthavn;SN99840;08.12.1976;3
Svalbard Lufthavn;SN99840;09.12.1976;3
Svalbard Lufthavn;SN99840;10.12.1976;3
Svalbard Lufthavn;SN99840;11.12.1976;3
Svalbard Lufthavn;SN99840;12.12.1976;3
Svalbard Lufthavn;SN99840;13.12.1976;2
Svalbard Lufthavn;SN99840;14.12.1976;2
Svalbard Lufthavn;SN99840;15.12.1976;3
Svalbard Lufthavn;SN99840;16.12.1976;3
Svalbard Lufthavn;SN99840;17.12.1976;3
Svalbard Lufthavn;SN99840;18.12.1976;4
Svalbard Lufthavn;SN99840;19.12.1976;7
Svalbard Lufthavn;SN99840;20.12.1976;7
Svalbard Lufthavn;SN99840;21.12.1976;6
Svalbard Lufthavn;SN99840;22.12.1976;7
Svalbard Lufthavn;SN99840;23.12.1976;7
Svalbard Lufthavn;SN99840;24.12.1976;7
Svalbard Lufthavn;SN99840;25.12.1976;6
Svalbard Lufthavn;SN99840;26.12.1976;6
Svalbard Lufthavn;SN99840;27.12.1976;6
Svalbard Lufthavn;SN99840;28.12.1976;6
Svalbard Lufthavn;SN99840;29.12.1976;7
Svalbard Lufthavn;SN99840;30.12.1976;7
Svalbard Lufthavn;SN99840;31.12.1976;7
Svalbard Lufthavn;SN99840;01.01.1977;7
Svalbard Lufthavn;SN99840;02.01.1977;7
Svalbard Lufthavn;SN99840;03.01.1977;5
Svalbard Lufthavn;SN99840;04.01.1977;6
Svalbard Lufthavn;SN99840;05.01.1977;8
Svalbard Lufthavn;SN99840;06.01.1977;8
Svalbard Lufthavn;SN99840;07.01.1977;7
Svalbard Lufthavn;SN99840;08.01.1977;10
Svalbard Lufthavn;SN99840;09.01.1977;10
Svalbard Lufthavn;SN99840;10.01.1977;10
Svalbard Lufthavn;SN99840;11.01.1977;10
Svalbard Lufthavn;SN99840;12.01.1977;10
Svalbard Lufthavn;SN99840;13.01.1977;7
Svalbard Lufthavn;SN99840;14.01.1977;5
Svalbard Lufthavn;SN99840;15.01.1977;5
Svalbard Lufthavn;SN99840;16.01.1977;5
Svalbard Lufthavn;SN99840;17.01.1977;5
Svalbard Lufthavn;SN99840;18.01.1977;7
Svalbard Lufthavn;SN99840;19.01.1977;6
Svalbard Lufthavn;SN99840;20.01.1977;5
Svalbard Lufthavn;SN99840;21.01.1977;6
Svalbard Lufthavn;SN99840;22.01.1977;6
Svalbard Lufthavn;SN99840;23.01.1977;6
Svalbard Lufthavn;SN99840;24.01.1977;6
Svalbard Lufthavn;SN99840;25.01.1977;6
Svalbard Lufthavn;SN99840;26.01.1977;6
Svalbard Lufthavn;SN99840;27.01.1977;6
Svalbard Lufthavn;SN99840;28.01.1977;5
Svalbard Lufthavn;SN99840;29.01.1977;5
Svalbard Lufthavn;SN99840;30.01.1977;5
Svalbard Lufthavn;SN99840;31.01.1977;5
Svalbard Lufthavn;SN99840;01.02.1977;5
Svalbard Lufthavn;SN99840;02.02.1977;5
Svalbard Lufthavn;SN99840;03.02.1977;5
Svalbard Lufthavn;SN99840;04.02.1977;5
Svalbard Lufthavn;SN99840;05.02.1977;5
Svalbard Lufthavn;SN99840;06.02.1977;5
Svalbard Lufthavn;SN99840;07.02.1977;5
Svalbard Lufthavn;SN99840;08.02.1977;5
Svalbard Lufthavn;SN99840;09.02.1977;5
Svalbard Lufthavn;SN99840;10.02.1977;5
Svalbard Lufthavn;SN99840;11.02.1977;5
Svalbard Lufthavn;SN99840;12.02.1977;10
Svalbard Lufthavn;SN99840;13.02.1977;9
Svalbard Lufthavn;SN99840;14.02.1977;10
Svalbard Lufthavn;SN99840;15.02.1977;10
Svalbard Lufthavn;SN99840;16.02.1977;11
Svalbard Lufthavn;SN99840;17.02.1977;17
Svalbard Lufthavn;SN99840;18.02.1977;15
Svalbard Lufthavn;SN99840;19.02.1977;15
Svalbard Lufthavn;SN99840;20.02.1977;15
Svalbard Lufthavn;SN99840;21.02.1977;15
Svalbard Lufthavn;SN99840;22.02.1977;15
Svalbard Lufthavn;SN99840;23.02.1977;20
Svalbard Lufthavn;SN99840;24.02.1977;20
Svalbard Lufthavn;SN99840;25.02.1977;20
Svalbard Lufthavn;SN99840;26.02.1977;20
Svalbard Lufthavn;SN99840;27.02.1977;16
Svalbard Lufthavn;SN99840;28.02.1977;15
Svalbard Lufthavn;SN99840;01.03.1977;15
Svalbard Lufthavn;SN99840;02.03.1977;15
Svalbard Lufthavn;SN99840;03.03.1977;16
Svalbard Lufthavn;SN99840;04.03.1977;16
Svalbard Lufthavn;SN99840;05.03.1977;14
Svalbard Lufthavn;SN99840;06.03.1977;14
Svalbard Lufthavn;SN99840;07.03.1977;14
Svalbard Lufthavn;SN99840;08.03.1977;14
Svalbard Lufthavn;SN99840;09.03.1977;14
Svalbard Lufthavn;SN99840;10.03.1977;14
Svalbard Lufthavn;SN99840;11.03.1977;14
Svalbard Lufthavn;SN99840;12.03.1977;14
Svalbard Lufthavn;SN99840;13.03.1977;14
Svalbard Lufthavn;SN99840;14.03.1977;14
Svalbard Lufthavn;SN99840;15.03.1977;18
Svalbard Lufthavn;SN99840;16.03.1977;14
Svalbard Lufthavn;SN99840;17.03.1977;14
Svalbard Lufthavn;SN99840;18.03.1977;14
Svalbard Lufthavn;SN99840;19.03.1977;18
Svalbard Lufthavn;SN99840;20.03.1977;18
Svalbard Lufthavn;SN99840;21.03.1977;18
Svalbard Lufthavn;SN99840;22.03.1977;18
Svalbard Lufthavn;SN99840;23.03.1977;18
Svalbard Lufthavn;SN99840;24.03.1977;12
Svalbard Lufthavn;SN99840;25.03.1977;12
Svalbard Lufthavn;SN99840;26.03.1977;12
Svalbard Lufthavn;SN99840;27.03.1977;12
Svalbard Lufthavn;SN99840;28.03.1977;11
Svalbard Lufthavn;SN99840;29.03.1977;11
Svalbard Lufthavn;SN99840;30.03.1977;10
Svalbard Lufthavn;SN99840;31.03.1977;11
Svalbard Lufthavn;SN99840;01.04.1977;11
Svalbard Lufthavn;SN99840;02.04.1977;11
Svalbard Lufthavn;SN99840;03.04.1977;10
Svalbard Lufthavn;SN99840;04.04.1977;10
Svalbard Lufthavn;SN99840;05.04.1977;10
Svalbard Lufthavn;SN99840;06.04.1977;10
Svalbard Lufthavn;SN99840;07.04.1977;10
Svalbard Lufthavn;SN99840;08.04.1977;10
Svalbard Lufthavn;SN99840;09.04.1977;10
Svalbard Lufthavn;SN99840;10.04.1977;9
Svalbard Lufthavn;SN99840;11.04.1977;9
Svalbard Lufthavn;SN99840;12.04.1977;10
Svalbard Lufthavn;SN99840;13.04.1977;5
Svalbard Lufthavn;SN99840;14.04.1977;6
Svalbard Lufthavn;SN99840;15.04.1977;6
Svalbard Lufthavn;SN99840;16.04.1977;5
Svalbard Lufthavn;SN99840;17.04.1977;5
Svalbard Lufthavn;SN99840;18.04.1977;5
Svalbard Lufthavn;SN99840;19.04.1977;5
Svalbard Lufthavn;SN99840;20.04.1977;5
Svalbard Lufthavn;SN99840;21.04.1977;5
Svalbard Lufthavn;SN99840;22.04.1977;5
Svalbard Lufthavn;SN99840;23.04.1977;5
Svalbard Lufthavn;SN99840;24.04.1977;5
Svalbard Lufthavn;SN99840;25.04.1977;5
Svalbard Lufthavn;SN99840;26.04.1977;8
Svalbard Lufthavn;SN99840;27.04.1977;16
Svalbard Lufthavn;SN99840;28.04.1977;12
Svalbard Lufthavn;SN99840;29.04.1977;8
Svalbard Lufthavn;SN99840;30.04.1977;8
Svalbard Lufthavn;SN99840;01.05.1977;8
Svalbard Lufthavn;SN99840;02.05.1977;8
Svalbard Lufthavn;SN99840;03.05.1977;8
Svalbard Lufthavn;SN99840;04.05.1977;8
Svalbard Lufthavn;SN99840;05.05.1977;8
Svalbard Lufthavn;SN99840;06.05.1977;8
Svalbard Lufthavn;SN99840;07.05.1977;8
Svalbard Lufthavn;SN99840;08.05.1977;8
Svalbard Lufthavn;SN99840;09.05.1977;6
Svalbard Lufthavn;SN99840;10.05.1977;5
Svalbard Lufthavn;SN99840;11.05.1977;5
Svalbard Lufthavn;SN99840;12.05.1977;4
Svalbard Lufthavn;SN99840;13.05.1977;4
Svalbard Lufthavn;SN99840;14.05.1977;2
Svalbard Lufthavn;SN99840;15.05.1977;2
Svalbard Lufthavn;SN99840;16.05.1977;2
Svalbard Lufthavn;SN99840;17.05.1977;2
Svalbard Lufthavn;SN99840;18.05.1977;3
Svalbard Lufthavn;SN99840;19.05.1977;0
Svalbard Lufthavn;SN99840;20.05.1977;0
Svalbard Lufthavn;SN99840;21.05.1977;0
Svalbard Lufthavn;SN99840;22.05.1977;0
Svalbard Lufthavn;SN99840;23.05.1977;0
Svalbard Lufthavn;SN99840;24.05.1977;0
Svalbard Lufthavn;SN99840;25.05.1977;0
Svalbard Lufthavn;SN99840;26.05.1977;0
Svalbard Lufthavn;SN99840;27.05.1977;0
Svalbard Lufthavn;SN99840;28.05.1977;0
Svalbard Lufthavn;SN99840;29.05.1977;0
Svalbard Lufthavn;SN99840;30.05.1977;0
Svalbard Lufthavn;SN99840;31.05.1977;0
Svalbard Lufthavn;SN99840;01.06.1977;0
Svalbard Lufthavn;SN99840;02.06.1977;0
Svalbard Lufthavn;SN99840;03.06.1977;0
Svalbard Lufthavn;SN99840;04.06.1977;0
Svalbard Lufthavn;SN99840;05.06.1977;0
Svalbard Lufthavn;SN99840;06.06.1977;0
Svalbard Lufthavn;SN99840;07.06.1977;0
Svalbard Lufthavn;SN99840;08.06.1977;0
Svalbard Lufthavn;SN99840;09.06.1977;0
Svalbard Lufthavn;SN99840;10.06.1977;0
