Name;Station;Time(norwegian mean time);Snow depth
Hornsund;SN99754;01.11.1995;2
Hornsund;SN99754;02.11.1995;1
Hornsund;SN99754;03.11.1995;1
Hornsund;SN99754;04.11.1995;18
Hornsund;SN99754;05.11.1995;11
Hornsund;SN99754;06.11.1995;11
Hornsund;SN99754;07.11.1995;11
Hornsund;SN99754;08.11.1995;9
Hornsund;SN99754;09.11.1995;9
Hornsund;SN99754;10.11.1995;11
Hornsund;SN99754;11.11.1995;8
Hornsund;SN99754;12.11.1995;12
Hornsund;SN99754;13.11.1995;18
Hornsund;SN99754;14.11.1995;12
Hornsund;SN99754;15.11.1995;10
Hornsund;SN99754;16.11.1995;10
Hornsund;SN99754;17.11.1995;10
Hornsund;SN99754;18.11.1995;10
Hornsund;SN99754;19.11.1995;10
Hornsund;SN99754;20.11.1995;10
Hornsund;SN99754;21.11.1995;17
Hornsund;SN99754;22.11.1995;14
Hornsund;SN99754;23.11.1995;12
Hornsund;SN99754;24.11.1995;12
Hornsund;SN99754;25.11.1995;11
Hornsund;SN99754;27.11.1995;11
Hornsund;SN99754;28.11.1995;11
Hornsund;SN99754;29.11.1995;11
Hornsund;SN99754;30.11.1995;25
Hornsund;SN99754;01.12.1995;24
Hornsund;SN99754;02.12.1995;25
Hornsund;SN99754;03.12.1995;14
Hornsund;SN99754;04.12.1995;0
Hornsund;SN99754;05.12.1995;0
Hornsund;SN99754;06.12.1995;0
Hornsund;SN99754;07.12.1995;13
Hornsund;SN99754;08.12.1995;16
Hornsund;SN99754;09.12.1995;17
Hornsund;SN99754;10.12.1995;18
Hornsund;SN99754;12.12.1995;23
Hornsund;SN99754;13.12.1995;22
Hornsund;SN99754;14.12.1995;22
Hornsund;SN99754;15.12.1995;22
Hornsund;SN99754;16.12.1995;22
Hornsund;SN99754;17.12.1995;21
Hornsund;SN99754;18.12.1995;21
Hornsund;SN99754;19.12.1995;21
Hornsund;SN99754;20.12.1995;21
Hornsund;SN99754;21.12.1995;21
Hornsund;SN99754;22.12.1995;20
Hornsund;SN99754;23.12.1995;20
Hornsund;SN99754;24.12.1995;20
Hornsund;SN99754;25.12.1995;20
Hornsund;SN99754;26.12.1995;20
Hornsund;SN99754;27.12.1995;20
Hornsund;SN99754;28.12.1995;20
Hornsund;SN99754;29.12.1995;20
Hornsund;SN99754;30.12.1995;28
Hornsund;SN99754;31.12.1995;31
Hornsund;SN99754;01.01.1996;26
Hornsund;SN99754;02.01.1996;25
Hornsund;SN99754;03.01.1996;25
Hornsund;SN99754;04.01.1996;25
Hornsund;SN99754;05.01.1996;25
Hornsund;SN99754;06.01.1996;28
Hornsund;SN99754;07.01.1996;25
Hornsund;SN99754;08.01.1996;26
Hornsund;SN99754;09.01.1996;27
Hornsund;SN99754;10.01.1996;24
Hornsund;SN99754;11.01.1996;23
Hornsund;SN99754;12.01.1996;22
Hornsund;SN99754;13.01.1996;25
Hornsund;SN99754;14.01.1996;26
Hornsund;SN99754;15.01.1996;26
Hornsund;SN99754;16.01.1996;28
Hornsund;SN99754;17.01.1996;32
Hornsund;SN99754;18.01.1996;32
Hornsund;SN99754;19.01.1996;28
Hornsund;SN99754;20.01.1996;28
Hornsund;SN99754;21.01.1996;31
Hornsund;SN99754;22.01.1996;33
Hornsund;SN99754;23.01.1996;33
Hornsund;SN99754;24.01.1996;33
Hornsund;SN99754;25.01.1996;34
Hornsund;SN99754;26.01.1996;33
Hornsund;SN99754;28.01.1996;33
